Timestamp [ms],True Temp [C],Voltage1 [mV],Voltage2 [mV],Temp1 [C],Temp2 [C]
0.0,33.33,316.51,-1645.613,34.099,-79.761
32.01413154602051,33.33,316.635,-1645.613,34.103,-79.761
84.05399322509766,33.33,316.822,-1645.613,34.108,-79.761
132.18116760253906,33.34,316.822,-1645.613,34.108,-79.761
184.2670440673828,33.34,316.947,-1645.613,34.112,-79.761
232.2680950164795,33.34,317.072,-1645.613,34.116,-79.761
283.4429740905762,33.34,317.26,-1645.613,34.121,-79.761
332.0291042327881,33.35,317.385,-1645.675,34.125,-79.92
396.3770866394043,33.35,317.51,-1645.675,34.129,-79.92
444.25511360168457,33.35,317.51,-1645.675,34.129,-79.92
495.7759380340576,33.35,317.697,-1645.675,34.135,-79.92
547.3990440368652,33.36,317.76,-1645.675,34.137,-79.92
595.7410335540771,33.36,317.947,-1645.675,34.142,-79.92
643.5389518737793,33.36,318.135,-1645.675,34.148,-79.92
695.4851150512695,33.36,318.135,-1645.675,34.148,-79.92
747.5559711456299,33.36,318.197,-1645.675,34.15,-79.92
795.7320213317871,33.36,318.385,-1645.613,34.156,-79.761
844.1891670227051,33.36,318.447,-1645.675,34.157,-79.92
893.1989669799805,33.36,318.635,-1645.675,34.163,-79.92
948.1720924377441,33.37,318.635,-1645.675,34.163,-79.92
1008.2571506500244,33.37,318.76,-1645.675,34.167,-79.92
1055.4320812225342,33.37,318.885,-1645.675,34.171,-79.92
1107.2559356689453,33.38,319.01,-1645.675,34.175,-79.92
1168.205976486206,33.38,319.135,-1645.675,34.178,-79.92
1220.1850414276123,33.38,319.322,-1645.675,34.184,-79.92
1267.6770687103271,33.38,319.447,-1645.675,34.188,-79.92
1320.2509880065918,33.39,319.447,-1645.675,34.188,-79.92
1384.1710090637207,33.39,319.572,-1645.613,34.192,-79.761
1431.692123413086,33.39,319.697,-1645.613,34.195,-79.761
1484.0741157531738,33.39,319.822,-1645.675,34.199,-79.92
1531.8670272827148,33.4,319.947,-1645.675,34.203,-79.92
1608.4530353546143,33.4,320.072,-1645.675,34.207,-79.92
1655.8780670166016,33.4,320.197,-1645.675,34.211,-79.92
1708.1811428070068,33.4,320.385,-1645.675,34.216,-79.92
1760.3700160980225,33.41,320.385,-1645.675,34.216,-79.92
1808.2060813903809,33.41,320.51,-1645.675,34.22,-79.92
1856.377124786377,33.41,320.635,-1645.675,34.224,-79.92
1908.182144165039,33.41,320.76,-1645.675,34.228,-79.92
1960.1831436157227,33.43,320.885,-1645.675,34.231,-79.92
2020.1809406280518,33.43,321.01,-1645.675,34.235,-79.92
2068.1700706481934,33.43,321.01,-1645.675,34.235,-79.92
2120.250940322876,33.43,321.135,-1645.675,34.239,-79.92
2172.1980571746826,33.44,321.322,-1645.675,34.245,-79.92
2232.1109771728516,33.44,321.447,-1645.675,34.248,-79.92
2284.1551303863525,33.44,321.51,-1645.675,34.25,-79.92
2332.080125808716,33.45,321.635,-1645.675,34.254,-79.92
2396.0421085357666,33.45,321.76,-1645.675,34.258,-79.92
2443.6631202697754,33.45,321.76,-1645.675,34.258,-79.92
2496.3009357452393,33.45,321.885,-1645.675,34.262,-79.92
2544.213056564331,33.47,322.01,-1645.675,34.266,-79.92
2607.9890727996826,33.47,322.135,-1645.675,34.269,-79.92
2656.1810970306396,33.47,322.26,-1645.675,34.273,-79.92
2708.0681324005127,33.47,322.385,-1645.675,34.277,-79.92
2760.1821422576904,33.5,322.385,-1645.675,34.277,-79.92
2808.182954788208,33.5,322.51,-1645.675,34.281,-79.92
2856.265068054199,33.5,322.635,-1645.675,34.284,-79.92
2907.5779914855957,33.5,322.76,-1645.675,34.288,-79.92
